"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"CR_sicor";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"4669";"2017";"4303707";"Campina das Missões - RS";8880,3;30247;17208;20995592,64;2654;1205;575;23533;1033;868;699;118;91627;54230;3
"4670";"2017";"4303806";"Campinas do Sul - RS";15705,5;34491;45720;38468071,64;1104;868;393;63624;345;335;330;193;98530;65143;2
"4673";"2017";"4304101";"Campos Borges - RS";9923,5;30891;24036;20969443,34;1307;665;332;36653;397;363;295;112;56150;28835;2
"4674";"2017";"4304200";"Candelária - RS";33246,6;57908;103443;51134868,08;8200;2979;1761;194868;3334;3180;2323;1197;219899;207149;4
"4675";"2017";"4304309";"Cândido Godói - RS";12943,1;41975;28256;27803574,15;3575;2256;794;36604;1315;1203;982;206;115664;69823;3
"4676";"2017";"4304358";"Candiota - RS";14633,3;25843;45994;37539485,41;1888;732;361;66616;277;180;407;92;123472;55175;2
"4677";"2017";"4304408";"Canela - RS";585;2961;2771;802824,41;673;97;83;4236;152;72;78;36;8740;7870;2
"4678";"2017";"4304507";"Canguçu - RS";90924,2;106335;203072;111927076,74;21284;7349;4646;393471;6886;4617;3411;2707;495116;361185;4
"4680";"2017";"4304614";"Canudos do Vale - RS";1512,3;37069;2637;2605097,92;1064;158;118;7267;393;394;336;33;81880;20048;2
"4683";"2017";"4304655";"Capão do Cipó - RS";50506,5;73874;129500;65321489,54;1458;998;442;173112;364;317;140;217;217117;141461;5
"4685";"2017";"4304671";"Capivari do Sul - RS";15688,9;21490;52612;59505566,65;637;516;255;82194;80;60;73;55;104996;66440;2
"4688";"2017";"4304705";"Carazinho - RS";43107,5;76535;135198;116325870,07;1342;1302;596;200057;322;304;290;217;243034;128450;5
"4689";"2017";"4304713";"Caraá - RS";3036;3954;6201;2215672,67;2382;144;117;19168;1113;642;416;159;27592;30784;2
"4690";"2017";"4304804";"Carlos Barbosa - RS";3299,2;19980;5625;84906495,59;2937;1082;677;19773;1013;865;509;368;70611;40178;3
"4692";"2017";"4304903";"Casca - RS";14224;48516;31690;54044770,78;2103;1427;713;44536;725;710;545;228;144222;76410;3
"4693";"2017";"4304952";"Caseiros - RS";10127,7;20071;29402;18079082,41;1192;620;313;44139;326;309;292;167;69390;42325;2
"4695";"2017";"4305108";"Caxias do Sul - RS";15315,8;77385;121128;181583772,3;9542;4005;3164;225950;2436;2064;1239;1150;364992;192170;4
"4696";"2017";"4305116";"Centenário - RS";8522,3;15944;22282;17264753,64;1339;665;316;30459;569;569;422;194;45839;31401;2
"4697";"2017";"4305124";"Cerrito - RS";9038,2;14647;15258;15270208,79;1445;624;328;24775;475;191;250;156;40868;33177;2
"4700";"2017";"4305173";"Cerro Grande do Sul - RS";6494,5;10351;22124;5701099,33;3461;1034;886;58205;1240;1103;715;460;55244;51884;3
"4701";"2017";"4305207";"Cerro Largo - RS";7089,7;22505;19569;20944471,48;2031;923;416;31353;718;632;492;82;72205;47125;2
"4703";"2017";"4305355";"Charqueadas - RS";6518,1;5684;10486;7631118,12;488;206;110;29329;97;21;81;78;37483;25870;2
"4704";"2017";"4305371";"Charrua - RS";10420,1;19397;24087;18935917,18;1208;657;320;39291;481;477;356;73;57616;36770;2
"4707";"2017";"4305447";"Chuvisca - RS";6909,3;12046;26562;8967486,78;2330;995;783;55591;998;903;675;396;55169;57287;3
"4708";"2017";"4305454";"Cidreira - RS";2099,8;3725;7385;1541800;204;134;80;12681;32;13;42;25;25320;12343;2
