Código (Município);Município;Produção de lavouras temporárias;Produção de lavouras permanentes;Soma
2202737;Coivaras (PI);2046;924;2970
2202752;Colônia do Gurguéia (PI);2219;166;2385
2202778;Colônia do Piauí (PI);5954;70;6024
2202802;Conceição do Canindé (PI);2274;464;2738
2202851;Coronel José Dias (PI);1450;X;1450
2202901;Corrente (PI);38373;-;38373
2203008;Cristalândia do Piauí (PI);2757;117;2874
2203107;Cristino Castro (PI);1550;150;1700
2203206;Curimatá (PI);5000;400;5400
2203230;Currais (PI);156617;212;156829
2203255;Curralinhos (PI);1955;56;2011
2203271;Curral Novo do Piauí (PI);1408;X;1408
2203305;Demerval Lobão (PI);3432;669;4101
2203354;Dirceu Arcoverde (PI);6540;X;6540
2203404;Dom Expedito Lopes (PI);1907;1354;3261
2203420;Domingos Mourão (PI);2853;222;3075
2203453;Dom Inocêncio (PI);1272;X;1272
2203503;Elesbão Veloso (PI);6019;93;6112
2203602;Eliseu Martins (PI);3760;X;3760
2203701;Esperantina (PI);11030;1355;12385
2203750;Fartura do Piauí (PI);1983;-;1983
2203800;Flores do Piauí (PI);4360;X;4360
2203859;Floresta do Piauí (PI);1424;59;1483
2203909;Floriano (PI);7360;313;7673
2204006;Francinópolis (PI);3619;X;3619
2204105;Francisco Ayres (PI);4136;X;4136
2204154;Francisco Macedo (PI);1711;X;1711
2204204;Francisco Santos (PI);4059;4376;8435
2204303;Fronteiras (PI);3890;-;3890
2204352;Geminiano (PI);4825;511;5336
2204402;Gilbués (PI);157575;90;157665
2204501;Guadalupe (PI);2112;22165;24277
2204550;Guaribas (PI);4573;X;4573
2204600;Hugo Napoleão (PI);3016;X;3016
2204659;Ilha Grande (PI);453;499;952
2204709;Inhuma (PI);14428;3190;17618
2204808;Ipiranga do Piauí (PI);6993;5903;12896
2204907;Isaías Coelho (PI);4343;-;4343
2205003;Itainópolis (PI);6374;X;6374
2205102;Itaueira (PI);10041;571;10612
2205151;Jacobina do Piauí (PI);1140;X;1140
2205201;Jaicós (PI);10567;2699;13266
2205250;Jardim do Mulato (PI);1677;X;1677
2205276;Jatobá do Piauí (PI);3136;333;3469
2205300;Jerumenha (PI);176;X;176
2205359;João Costa (PI);593;230;823
2205409;Joaquim Pires (PI);5289;940;6229
2205458;Joca Marques (PI);2018;476;2494
2205508;José de Freitas (PI);14098;1939;16037
2205516;Juazeiro do Piauí (PI);4556;118;4674
2205524;Júlio Borges (PI);3059;X;3059
2205532;Jurema (PI);5127;X;5127
2205540;Lagoinha do Piauí (PI);1572;X;1572
2205557;Lagoa Alegre (PI);3332;X;3332
2205565;Lagoa do Barro do Piauí (PI);2732;X;2732
2205573;Lagoa de São Francisco (PI);2746;937;3683
2205581;Lagoa do Piauí (PI);2106;367;2473
2205599;Lagoa do Sítio (PI);4342;1263;5605
2205607;Landri Sales (PI);4913;193;5106
2205706;Luís Correia (PI);14194;3949;18143
2205805;Luzilândia (PI);7688;213;7901
2205854;Madeiro (PI);4307;191;4498
2205904;Manoel Emídio (PI);720;-;720
2205953;Marcolândia (PI);4132;28;4160
2206001;Marcos Parente (PI);2683;X;2683
2206050;Massapê do Piauí (PI);4644;233;4877
2206100;Matias Olímpio (PI);3535;X;3535
2206209;Miguel Alves (PI);20124;190;20314
2206308;Miguel Leão (PI);927;-;927
2206357;Milton Brandão (PI);4734;1884;6618
2206407;Monsenhor Gil (PI);5539;991;6530
2206506;Monsenhor Hipólito (PI);7393;5068;12461
2206605;Monte Alegre do Piauí (PI);92741;507;93248
2206654;Morro Cabeça no Tempo (PI);2267;-;2267
2206670;Morro do Chapéu do Piauí (PI);2774;547;3321
2206696;Murici dos Portelas (PI);5854;2507;8361
2206704;Nazaré do Piauí (PI);2677;85;2762
2206720;Nazária (PI);4260;1664;5924
2206753;Nossa Senhora de Nazaré (PI);1772;X;1772
2206803;Nossa Senhora dos Remédios (PI);3445;168;3613
2206902;Novo Oriente do Piauí (PI);3564;X;3564
2206951;Novo Santo Antônio (PI);2947;X;2947
2207009;Oeiras (PI);18437;1372;19809
2207108;Olho D'Água do Piauí (PI);3140;X;3140
2207207;Padre Marcos (PI);2361;X;2361
2207306;Paes Landim (PI);3183;X;3183
2207355;Pajeú do Piauí (PI);3809;220;4029
2207405;Palmeira do Piauí (PI);31700;485;32185
2207504;Palmeirais (PI);13845;546;14391
2207553;Paquetá (PI);2671;127;2798
2207603;Parnaguá (PI);3944;X;3944
2207702;Parnaíba (PI);8106;14745;22851
2207751;Passagem Franca do Piauí (PI);3236;223;3459
2207777;Patos do Piauí (PI);4052;137;4189
2207793;Pau D'Arco do Piauí (PI);4001;1935;5936
2207801;Paulistana (PI);5702;151;5853
2207850;Pavussu (PI);3642;X;3642
2207900;Pedro II (PI);19303;2131;21434
2207934;Pedro Laurentino (PI);1546;-;1546
2207959;Nova Santa Rita (PI);3101;X;3101
2208007;Picos (PI);13493;8217;21710
2208106;Pimenteiras (PI);8289;473;8762
2208205;Pio IX (PI);16101;13073;29174
2208304;Piracuruca (PI);7039;4570;11609
2208403;Piripiri (PI);16026;6713;22739
2208502;Porto (PI);3906;73;3979
2208551;Porto Alegre do Piauí (PI);744;-;744
2208601;Prata do Piauí (PI);415;X;415
2208650;Queimada Nova (PI);4470;X;4470
2208700;Redenção do Gurguéia (PI);11161;176;11337
2208809;Regeneração (PI);37461;278;37739
2208858;Riacho Frio (PI);1023;50;1073
2208874;Ribeira do Piauí (PI);1562;X;1562
2208908;Ribeiro Gonçalves (PI);311257;X;311257
2209005;Rio Grande do Piauí (PI);5882;257;6139
2209104;Santa Cruz do Piauí (PI);2273;269;2542
2209153;Santa Cruz dos Milagres (PI);1858;-;1858
2209203;Santa Filomena (PI);191907;452;192359
2209302;Santa Luz (PI);1195;X;1195
2209351;Santana do Piauí (PI);4468;14;4482
2209377;Santa Rosa do Piauí (PI);3273;268;3541
