Municipio;Qtde;Principal
2609808;5000;Mandioca
2609907;202111;Milho
2610400;1714;Feijao
2611507;13720;Mandioca
2611533;7380;Feijao
2611606;81500;Milho
2612208;6349;Mandioca
2612505;5033;Mandioca
2612802;339929;Milho
2612901;5407;Mandioca
2613305;8190;Café
2613404;403950;Milho
2613503;5400;Mandioca
2613602;89280;Soja
2613701;180000;Milho
2613800;33216;Milho
2614204;23220;Café
2614600;5400;Mandioca
2614709;13125;Mandioca
2614808;331500;Milho
2614857;62700;Soja
2615300;15267;Café
2615508;163500;Laranja
2615607;152940;Milho
2615805;328100;Soja
2615904;45600;Milho
2616209;93600;Soja
2616407;40000;Milho
2700102;2519400;Cana-de-acucar
2700201;64220;Uva
2700706;150000;Milho
2700904;648000;Milho
2701209;5560;Mandioca
2701357;9180;Café
2701407;5910;Feijao
2701605;7758;Mandioca
2702009;5638;Mandioca
2702108;4847;Mandioca
2702207;5959;Mandioca
2702306;61200;Soja
2702405;5500;Mandioca
2702504;8500;Trigo
2702900;6334;Café
2703106;23036;Uva
2703304;34560;Milho
2704104;7470;Café
2704609;72000;Soja
2705200;30000;Mandioca
2705309;561600;Soja
2705705;88702;Milho
2706208;51000;Milho
2706422;1820000;Cana-de-acucar
2706703;7000;Mandioca
2706901;6840;Trigo
2707008;10200;Café
2707107;10612;Mandioca
2707404;111360;Mandioca
2707503;30700;Batata
2707800;10845;Café
2707909;200000;Laranja
2708105;217670;Milho
2708709;142120;Soja
2708808;34514;Laranja
2708907;35100;Feijao
2709202;5574;Mandioca
2709301;33684;Laranja
2709400;6329;Mandioca
2800100;141642;Milho
2800209;8748;Mandioca
2800605;772800;Soja
2800670;104608;Soja
2800704;607842;Milho
2801306;5399;Mandioca
2801504;17952;Café
2802205;64563;Laranja
2802403;52532;Milho
2802700;2154100;Cana-de-acucar
2802809;4530;Feijao
2802908;108000;Soja
2803500;62534;Milho
2803609;6646;Mandioca
2804102;68750;Milho
2804409;1161300;Cana-de-acucar
2804458;4939;Mandioca
2804508;93500;Soja
2805000;67684;Milho
2805109;132583;Soja
2805604;16800;Mandioca
2805802;1206;Feijao
2806206;270675;Milho
2806305;9260;Feijao
2806404;57100;Milho
2806701;80844;Milho
2806909;3240;Fumo
2807006;37950;Milho
2807105;4619;Mandioca
2807204;20000;Mandioca
2807501;83232;Laranja
2900108;54435;Mandioca
2900207;55500;Milho
2900405;158900;Milho
2900504;15845;Fumo
2900702;70200;Milho
2900801;70500;Milho
2901106;74590;Milho
2901353;3075;Feijao
2901403;556800;Milho
2902005;31600;Milho
2902104;72000;Milho
